Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Plate Turkish Sit Up,https://youtu.be/A7sXEmRwTQQ,,Intermediate,Abdominals,Rectus Abdominis,,,Weight Plate,1,,,Supine,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Barbell Seated Overhead Press,https://youtu.be/Mdx1V3v7E5g,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Seated,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Barbell Turkish Sit Up,,,Advanced,Abdominals,Rectus Abdominis,,,Barbell,1,,,Supine,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Dumbbell Crush Grip Romanian Deadlift,https://youtu.be/y_wDmRR3qHE,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell,1,,,Standing,Double Arm,Continuous,Crush Grip,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Ring Pelican Curl,https://youtu.be/GCU9MgR78go?si=9_MfbrIFqCoJ9wnJ,https://youtu.be/lpC92lkXoUs?si=haZuxsNmnlch5_FY,Advanced,Biceps,Biceps Brachii,Pectoralis Major,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Supinated,No Load,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Kettlebell Dead Bug,https://youtu.be/pXcG0IH2Nkg,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Supine,Double Arm,Continuous,Goblet,Other,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Kettlebell Bottoms Up Copenhagen Plank,https://youtu.be/CjmBEvy8VVg,,Intermediate,Adductors,Adductor Magnus,,,Kettlebell,1,Bench (Flat),1,Side Plank,Single Arm,Continuous,Bottoms Up,Other,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Ring Chin Up,https://youtu.be/rJiYA9jn3YI,,Intermediate,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Supinated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Two Finger Chin Up,,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Supinated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Dumbbell Crush Grip Bent Over Row,https://youtu.be/ppmAYXaz0_k,,Beginner,Back,Latissimus Dorsi,Biceps Brachii,,Dumbbell,1,,,Bent Over Standing,Double Arm,Continuous,Crush Grip,Other,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Walking,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Crush Grip Bicep Curl to Overhead Press,https://youtu.be/3hFzUnWOQLU,,Beginner,Shoulders,Anterior Deltoids,Biceps Brachii,,Dumbbell,1,,,Standing,Double Arm,Continuous,Crush Grip,Overhead,Combo Exercise,Vertical Push,Elbow Flexion,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Overhead Press,https://youtu.be/x9kQgf5XESA,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,,,Standing,Double Arm,Continuous,Crush Grip,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Hollow Body Hold With Flutter Kicks,https://youtu.be/Btp-pKPfvEU,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,,,Supine,Double Arm,Continuous,Crush Grip,Other,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Dumbbell Crush Grip Floor Chest Press,https://youtu.be/BPGXxo9aq2s,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,1,,,Supine,Double Arm,Continuous,Crush Grip,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Parallette Crow Pose,https://youtu.be/JHYVvhWqNzE,,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Dumbbell Crush Grip Z Press,https://youtu.be/_othSKjqF30,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,,,Seated Floor,Double Arm,Continuous,Crush Grip,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Kettlebell Dead Clean to Horn Grip Goblet Squat,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,Ballistics
Dumbbell Crush Grip Standing Overhead Tricep Extension,https://youtu.be/FYlFRw0iSmA,,Beginner,Triceps,Triceps Brachii ,,,Dumbbell,1,,,Standing,Double Arm,Continuous,Crush Grip,Overhead,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Front Rack Alternating Cossack Squat Hold to Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Combo Exercise,Vertical Push,Knee Dominant,,Frontal Plane,Sagittal Plane,,Full Body,Push,Compound,Unilateral,
Double Kettlebell Bottoms Up Front Rack March,https://youtu.be/mLc2zI4rkMQ?si=bYMHmbsvqyX3__ZV,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,March,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Double Kettlebell Bottoms Up Overhead March,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,March,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Double Kettlebell Bottoms Up Alternating Contralateral Overhead Press March,,,Advanced,Shoulders,Anterior Deltoids,Rectus Abdominis,,Kettlebell,2,,,March,Double Arm,Alternating,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,
Barbell Half Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Half Kneeling,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Barbell Tall Kneeling Overhead Press,https://youtu.be/j2slieruHx0?si=qsnkz69oUwDeE0hp,https://youtu.be/XTerH-QeCSg?si=Zp_4mKUx_ILMyqu1,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Tall Kneeling,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Tactical Clean,https://youtu.be/dLyfCN_7JHw,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Single Arm,Alternating,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Barbell Overhead March,https://youtu.be/NJ4t_HAgJ0M,,Intermediate,Abdominals,Rectus Abdominis,,,Barbell,1,,,March,Double Arm,Continuous,Pronated,Overhead,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Single Arm Barbell Overhead March,,,Advanced,Abdominals,Rectus Abdominis,,,Barbell,1,,,March,Single Arm,Continuous,Pronated,Overhead,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Double Kettlebell Bottoms Up Overhead Adductor Slide,,,Advanced,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Double Kettlebell Bottoms Up Front Rack Adductor Slide,,,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Double Kettlebell Front Rack Adductor Slide,,,Novice,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Bodyweight Adductor Slide,https://youtu.be/Gj12f62lLeM?si=VhTsZJu7DxtPvx73,,Beginner,Adductors,Adductor Magnus,,,Sliders,1,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Parallette Plyometric Push Up,,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Plyometric
Parallette Plyometric Clapping Push Up,,,Advanced,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Plyometric
Alternating Single Arm Kettlebell Ballistic Row,https://youtu.be/ey7YgyPONOk,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell,1,,,Bent Over Standing,Single Arm,Alternating,Neutral,Other,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Double Kettlebell Front Rack Pivot Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,,,Kettlebell,2,,,Split Stance Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,
Double Kettlebell Bottoms Up Front Rack Pivot Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,,,Kettlebell,2,,,Split Stance Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,
Double Kettlebell Bottoms Up Overhead Pivot Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,,,Kettlebell,2,,,Split Stance Standing,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,
Double Dumbbell Front Rack Pivot Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,,,Dumbbell,2,,,Split Stance Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,
Bodyweight Row Feet Elevated,https://youtu.be/6AptmglPQ30,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Bodyweight,0,Barbell,1,Supine,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Bodyweight Row,https://youtu.be/bHO0A4ZF_Zg,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Bodyweight,0,Barbell,1,Supine,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Row,https://youtu.be/xhlReCpAE9k,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,,,Supine,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Bulgarian Row,https://youtu.be/5CxPrNkhm2k,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,,,Supine,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Kettlebell Half Kneeling Rotational Swing,https://youtu.be/_ChDukjxUag,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,,,Half Kneeling,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Double Kettlebell Push Jerk,https://youtu.be/zOSOXJkRqkA,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Ballistics
Double Kettlebell Clean to Push Jerk,https://youtu.be/i5T---ctN4A,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Slider Barbell Overhead Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Slider Single Arm Barbell Overhead Reverse Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1,Barbell,1,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Pseudo Planche Push Up,https://youtu.be/lpZUsYQVwuE,,Advanced,Chest,Pectoralis Major,Anterior Deltoids,,Bodyweight,0,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Pseudo Planche Push Up,https://youtu.be/YDO8UmA9lr8,,Expert,Chest,Pectoralis Major,Anterior Deltoids,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Kettlebell Half Knee Hover Low to High Chop,,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,,,Half Knee Hover,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Balance
Kettlebell Half Knee Hover Alternating Halo,,,Advanced,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,,,Half Knee Hover,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,,Pull,Compound,Unilateral,Balance
Double Kettlebell Front Rack March,https://youtu.be/aAbVFCqY4Ac,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,March,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Double Kettlebell Suitcase March,https://youtu.be/i-q8SKGy--Q,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,March,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Single Arm Kettlebell Rotational Snatch,https://youtu.be/KpDxyxOCjCE,,Advanced,Shoulders,Anterior Deltoids,Obliques,Gluteus Maximus,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Dumbbell Staggered Stance Romanian Deadlift,https://youtu.be/RFuCfiMfJ1w,https://youtu.be/Th4QdA2BOyg,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Staggered Stance Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Staggered Stance Romanian Deadlift,https://youtu.be/UDKuhQqMIBs,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell,1,,,Staggered Stance Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Contralateral Staggered Stance Romanian Deadlift,https://youtu.be/idlRlqrlur4,,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Staggered Stance Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Ring Hanging Knees to Elbows,https://youtu.be/SxLuhaSaPM4,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Barbell Staggered Stance Overhead Press,https://youtu.be/dnLBRh6bQJQ,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Staggered Stance Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Double Kettlebell Dead Clean to Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,Ballistics
Superband Assisted Nordic Hamstring Curl,https://youtu.be/4u74sLMSObs,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Superband,1,,,Tall Kneeling,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,
Double Kettlebell Front Rack Alternating Shin Box Hip Extension to Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Shin Box Seated,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Hip Extension,,Transverse Plane,,,Full Body,,Compound,Bilateral,Mobility
Bodyweight Alternating Shin Box to Hip Extension,,,Intermediate,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Shin Box Seated,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Transverse Plane,,,Lower Body,,Compound,Unilateral,Mobility
Double Kettlebell Overhead Alternating Shin Box to Hip Extension,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,2,,,Shin Box Seated,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Extension,,,Transverse Plane,,,Lower Body,,Compound,Bilateral,Mobility
Double Kettlebell Bottoms Up Turkish Get Up,,,Expert,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,2,,,Supine,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Grinds
Kettlebell Staggered Stance Rotational Swing,https://youtu.be/4SXAEL7ZdSk?feature=shared,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,,,Staggered Stance Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,
Single Arm Kettlebell Suitcase Curtsy Lunge,https://youtu.be/qwrKbo9x-kY?si=21e-GqO9gmcl5R0k,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge Pass Through,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Alternating,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Kettlebell Suitcase Walking Lunge Pass Through,https://youtu.be/tpJ09mGWZos?si=5J4AlnDrNYluauyX,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Walking,Single Arm,Alternating,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Bench Press,https://youtu.be/bIzD1Z_C0cA,,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Double Kettlebell Overhead Press,https://youtu.be/IfGxPcgiTmY,https://youtu.be/VJZDDi-0vGU,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Press,https://youtu.be/s_4eBfEdwec,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Double Kettlebell Suitcase Carry,https://youtu.be/kaQWccrfY40,https://youtu.be/fxwrTkKUkTo?si=wWkdk6J_ZPbF6Ir3,Beginner,Forearms,Brachioradialis,,,Kettlebell,2,,,Walking,Double Arm,Continuous,Neutral,Other,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Single Arm Kettlebell Suitcase Carry,https://youtu.be/HNgMpdUEpgw,https://youtu.be/T9A607GaR2w,Beginner,Forearms,Brachioradialis,Obliques,,Kettlebell,1,,,Walking,Single Arm,Continuous,Neutral,Other,Single Exercise,Loaded Carry,Anti-Lateral Flexion,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Single Arm Dumbbell Suitcase Carry,https://youtu.be/hwrB_c0uPRk,,Beginner,Forearms,Brachioradialis,,,Dumbbell,1,,,Walking,Single Arm,Continuous,Neutral,Other,Single Exercise,Loaded Carry,Anti-Lateral Flexion,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
